,CODIGO OW,DESCRIPCION,ALMACEN,SALDO EN INVENTARIO
163035,1462,"PLATINA 3/8""X1.1/2""X6.0 M.",C300,0.0
163036,3034,"TUBO CONDUIT 1.1/2"" PVC",C300,0.0
163037,1426,"ANGULO 1""X1/8""",C300,0.0
163038,1462,"PLATINA 3/8""X1.1/2""X6.0 M.",C300,0.0
163039,1426,"ANGULO 1""X1/8""",C300,0.0
163040,4288,CRUCETA METALICA,C300,0.0
163041,2996,"CURVA LISA 4"" PVC",C300,0.0
163042,2817,"TUBO CONDUIT 4"" IMC",C300,0.0
163043,2929,"TUBO CONDUIT 3/4"" EMT",C300,0.0
163044,1458,"PLATINA 1/4""X2""",C300,0.0
163045,1458,"PLATINA 1/4""X2""",C300,0.0
163046,1458,"PLATINA 1/4""X2""",C300,0.0
163047,3038,TUBERIA PVC TDP 3PG,C300,0.0
163048,1458,"PLATINA 1/4""X2""",C300,0.0
163049,1463,"PLATINA 3/8""X2""",C300,0.0
163050,1458,"PLATINA 1/4""X2""",C300,0.0
163051,1463,"PLATINA 3/8""X2""",C300,0.0
163052,1458,"PLATINA 1/4""X2""",C300,0.0
163053,3039,"TUBO 4"" T.D.P.PVC CORRUGADO",C300,0.0
163054,4373,GRAPA RECTA ACSR 2AWG A 2/0AWG,C300,0.0
163055,4373,GRAPA RECTA ACSR 2AWG A 2/0AWG,C300,0.0
163056,1669,"TORNILLO O PERNO 5/8"" X 2""",C300,0.0
163057,4373,GRAPA RECTA ACSR 2AWG A 2/0AWG,C300,0.0
163058,4428,"ESPIGO 5/8""X7 1/2"" AISL PIN",C300,0.0
163059,1880,"ARANDELA CUADRADA 1/2""",C300,0.0
163060,4402,PERCHA 2 PUESTOS GALVANIZADA,C300,0.0
163061,1881,"ARANDELA CUADRADA 5/8""",C300,0.0
163062,4369,"GRAPA RETENCION 3/8""",C300,0.0
163063,3854,TPLEX 2X2/0AWG+1X155.4 KCMIL,C300,0.0
163064,3857,CABLE AL. TRIPLEX 2X3/0+3/0,C300,0.0
163065,3959,CPLEX 3X2/0AWG+1X155.4 KCMIL,C300,0.0
163066,3034,"TUBO CONDUIT 1.1/2"" PVC",C300,0.0
163067,3036,"TUBO CONDUIT 2"" PVC",C300,0.0
163068,2932,"TUBO CONDUIT 1.1/2"" EMT",C300,0.0
163069,2932,"TUBO CONDUIT 1.1/2"" EMT",C300,0.0
163070,2932,"TUBO CONDUIT 1.1/2"" EMT",C300,0.0
163071,2929,"TUBO CONDUIT 3/4"" EMT",C300,0.0
163072,3039,"TUBO 4"" T.D.P.PVC CORRUGADO",C300,0.0
163073,210550,TUBERIA PVC CONDU 1 1/2” SCH40,C300,0.0
163074,4288,CRUCETA METALICA,C300,0.0
163075,4377,"GRAPA SUSPENSIÓN EN ACERO 1/4""",C300,0.0
163076,4380,GRAPA SUSPENSION ACSR 2-2/0AWG,C300,0.0
163077,2817,"TUBO CONDUIT 4"" IMC",C300,0.0
163078,2812,"TUBO 1.1/2"" GALV. IMC",C300,0.0
163079,6153,GRAPA SUSPENSION 2/0-366 KCMIL,C300,0.0
163080,4130,CAPUCHON CABLE 1/0 AWG.,C300,0.0
163081,4114,SECCIONADOR MONOPOLAR 630A15kV,C300,0.0
163082,4553,ESTRIBO CALIBRE 2 A 2/0AWG,C300,0.0
163083,4529,KIT SISTEMA PUESTA A TIERRA,C300,0.0
163084,4371,GRAPA TIPO PIST 4/0-336.4kcm,C300,0.0
163085,4368,GRAPA RETENCION 4/0 AWG.,C300,0.0
163086,4371,GRAPA TIPO PIST 4/0-336.4kcm,C300,0.0
163087,4366,GRAPA RETENCION 1/0-336.4 MCM,C300,0.0
163088,4366,GRAPA RETENCION 1/0-336.4 MCM,C300,0.0
163089,11178,GRAPA RETENCION 336.4 - 556.5,C300,0.0
163090,4124,CORTACIRCUITO 100 AMP 15 kV,C300,0.0
163091,4319,"ESLABON EN U 5/8"" FORJADO",C300,0.0
163092,4395,GUARDACABO ½PG,C300,0.0
163093,4371,GRAPA TIPO PIST 4/0-336.4kcm,C300,0.0
163094,4402,PERCHA 2 PUESTOS GALVANIZADA,C300,0.0
163095,5400,AMORTIGUADOR VIBRACION 2 AWG.,C300,0.0
163096,4319,"ESLABON EN U 5/8"" FORJADO",C300,0.0
163097,4244,BORNA TERM.CU.UN OJO 6 AWG.,C300,0.0
163098,4393,"GUARDACABO DE 3/8""",C300,0.0
163099,1688,"ESPARRAGO 5/8"" X 12""",C300,0.0
163100,1688,"ESPARRAGO 5/8"" X 12""",C300,0.0
163101,4222,CONECT.CUÑA 2/0-2 AWG.,C300,0.0
163102,5026,CIERRE ACERO INOXIDABLE 5/8PG,C300,0.0
163103,4245,BORNA TERMINAL Cu 4 AWG,C300,0.0
163104,4251,BORNA TERMINA COMPRI 4/0AWG 2H,C300,0.0
163105,4164,CONECTOR COMP H 3-1/0-2-6AWG,C300,0.0
163106,4401,PERCHA 1 PUESTO GALVANIZADA,C300,0.0
163107,213337,GRAPA RETENCION RECTA,C300,0.0
163108,212846,CONECTOR COMPRES TIPO H AL,C300,0.0
