,CODIGO JDE,NOMBRE,UNIDAD,CANTIDAD,NODO,ZONA,MUNICIPIO,PROG
0,211377,"GRAPA BAND IT 5/8""",UND,36.0,N43041,NORTE,AGUADAS,2019
1,211371,"CINTA BAND IT 5/8""",M,21.0,N43041,NORTE,AGUADAS,2019
2,219359,CINTA AISLANTE TEMFLEX 1500,UND,0.02,N43041,NORTE,AGUADAS,2019
3,4857,SOPORTE PARA CAJA METALICA,UND,2.0,N43041,NORTE,AGUADAS,2019
4,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,5.0,N43041,NORTE,AGUADAS,2019
5,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,6.0,N43041,NORTE,AGUADAS,2019
6,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,7.0,N43041,NORTE,AGUADAS,2019
7,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,7.0,N43041,NORTE,AGUADAS,2019
8,200002,POSTE CENTRIFUGADO 8 M,UND,3.0,N43041,NORTE,AGUADAS,2019
9,211319,PERCHAS 1 PUESTO,UND,30.0,N43041,NORTE,AGUADAS,2019
10,211401,GUARDACABOS 1/2,UND,7.0,N43041,NORTE,AGUADAS,2019
11,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,6.0,N43041,NORTE,AGUADAS,2019
13,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,7.0,N43041,NORTE,AGUADAS,2019
15,212853,CONECTOR DBH-8,UND,17.0,N43041,NORTE,AGUADAS,2019
16,212846,CONECTOR DBH-4,UND,10.0,N43041,NORTE,AGUADAS,2019
17,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,22.0,N43041,NORTE,AGUADAS,2019
18,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,7.0,N43041,NORTE,AGUADAS,2019
19,200151,"AISLADOR YOYO 3""",UND,30.0,N43041,NORTE,AGUADAS,2019
20,200411,CABLE CU CONCENTRICO No. 2 X 8 + 8,M,6.0,N43041,NORTE,AGUADAS,2019
21,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,44.0,N43041,NORTE,AGUADAS,2019
22,200472,CABLE ACSR No. 2,M,1.4,N43041,NORTE,AGUADAS,2019
23,200417,CABLE CU DD No. 4,M,0.8,N43041,NORTE,AGUADAS,2019
24,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,131.0,N43041,NORTE,AGUADAS,2019
25,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,220.0,N43041,NORTE,AGUADAS,2019
26,200497,CABLE DUPLEX AL No. 2 X 2,M,14.0,N43041,NORTE,AGUADAS,2019
27,200316,ALAMBRE CU 8AWG NEGRO,M,33.0,N43041,NORTE,AGUADAS,2019
28,214271,HEBILLA PLASTICA 15 CM,UND,15.0,N43041,NORTE,AGUADAS,2019
29,219144,HEBILLA PLASTICA 25 CM,UND,22.0,N43041,NORTE,AGUADAS,2019
30,2507,CHAZO O RAMPLUG,UND,16.0,N43041,NORTE,AGUADAS,2019
31,211377,"GRAPA BAND IT 5/8""",UND,24.0,N43033,NORTE,AGUADAS,2019
32,211371,"CINTA BAND IT 5/8""",M,13.5,N43033,NORTE,AGUADAS,2019
34,211620,CAJA PORTABORNERA DE ACOMETIDAS BIFASICA ,UND,3.0,N43033,NORTE,AGUADAS,2019
35,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,30.0,N43033,NORTE,AGUADAS,2019
36,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,3.0,N43033,NORTE,AGUADAS,2019
37,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,12.0,N43033,NORTE,AGUADAS,2019
38,200076,POSTE METALICO 8*510,UND,5.0,N43033,NORTE,AGUADAS,2019
39,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,12.0,N43033,NORTE,AGUADAS,2019
40,200002,POSTE CENTRIFUGADO 8 M,UND,1.0,N43033,NORTE,AGUADAS,2019
41,211319,PERCHAS 1 PUESTO,UND,18.0,N43033,NORTE,AGUADAS,2019
42,211401,GUARDACABOS 1/2,UND,12.0,N43033,NORTE,AGUADAS,2019
43,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,3.0,N43033,NORTE,AGUADAS,2019
44,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,46.0,N43033,NORTE,AGUADAS,2019
46,212853,CONECTOR DBH-8,UND,37.0,N43033,NORTE,AGUADAS,2019
47,212846,CONECTOR DBH-4,UND,8.0,N43033,NORTE,AGUADAS,2019
48,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,15.0,N43033,NORTE,AGUADAS,2019
49,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,12.0,N43033,NORTE,AGUADAS,2019
50,200151,"AISLADOR YOYO 3""",UND,18.0,N43033,NORTE,AGUADAS,2019
51,200411,CABLE CU CONCENTRICO No. 2 X 8 + 8,M,11.0,N43033,NORTE,AGUADAS,2019
52,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,265.0,N43033,NORTE,AGUADAS,2019
53,200472,CABLE ACSR No. 2,M,10.85,N43033,NORTE,AGUADAS,2019
55,200417,CABLE CU DD No. 4,M,6.2,N43033,NORTE,AGUADAS,2019
56,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,159.0,N43033,NORTE,AGUADAS,2019
57,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,250.0,N43033,NORTE,AGUADAS,2019
58,214271,HEBILLA PLASTICA 15 CM,UND,120.0,N43033,NORTE,AGUADAS,2019
